MODEL,PARAMETERS,PRECISION,RECALL,AUC,F1,ACCURACY,Time
DT,"{'max_depth': 5, 'max_features': 'sqrt', 'criterion': 'entropy', 'min_samples_split': 2}",1.0,0.0746268656716,0.537313432836,0.138888888889,0.194805194805,0.0018086433410644531
DT,"{'max_depth': 5, 'max_features': 'sqrt', 'criterion': 'entropy', 'min_samples_split': 5}",1.0,0.0746268656716,0.537313432836,0.138888888889,0.194805194805,0.0017976760864257812
DT,"{'max_depth': 5, 'max_features': 'sqrt', 'criterion': 'entropy', 'min_samples_split': 10}",1.0,0.10447761194,0.55223880597,0.189189189189,0.220779220779,0.0018115043640136719
DT,"{'max_depth': 5, 'max_features': 'log2', 'criterion': 'entropy', 'min_samples_split': 2}",0.868421052632,0.985074626866,0.492537313433,0.923076923077,0.857142857143,0.0018324851989746094
DT,"{'max_depth': 5, 'max_features': 'log2', 'criterion': 'entropy', 'min_samples_split': 5}",0.868421052632,0.985074626866,0.492537313433,0.923076923077,0.857142857143,0.0018320083618164062
DT,"{'max_depth': 5, 'max_features': 'log2', 'criterion': 'entropy', 'min_samples_split': 10}",0.868421052632,0.985074626866,0.492537313433,0.923076923077,0.857142857143,0.001828908920288086
DT,"{'max_depth': 10, 'max_features': 'sqrt', 'criterion': 'entropy', 'min_samples_split': 2}",1.0,0.0597014925373,0.529850746269,0.112676056338,0.181818181818,0.001909494400024414
DT,"{'max_depth': 10, 'max_features': 'sqrt', 'criterion': 'entropy', 'min_samples_split': 5}",0.8,0.0597014925373,0.479850746269,0.111111111111,0.168831168831,0.001957416534423828
DT,"{'max_depth': 10, 'max_features': 'sqrt', 'criterion': 'entropy', 'min_samples_split': 10}",0.861111111111,0.925373134328,0.462686567164,0.892086330935,0.805194805195,0.0019443035125732422
DT,"{'max_depth': 10, 'max_features': 'log2', 'criterion': 'entropy', 'min_samples_split': 2}",0.9,0.134328358209,0.517164179104,0.233766233766,0.233766233766,0.0019140243530273438
DT,"{'max_depth': 10, 'max_features': 'log2', 'criterion': 'entropy', 'min_samples_split': 5}",1.0,0.0597014925373,0.529850746269,0.112676056338,0.181818181818,0.0018467903137207031
DT,"{'max_depth': 10, 'max_features': 'log2', 'criterion': 'entropy', 'min_samples_split': 10}",0.909090909091,0.149253731343,0.524626865672,0.25641025641,0.246753246753,0.001905679702758789
KNN,"{'algorithm': 'auto', 'weights': 'uniform', 'n_neighbors': 1}",0.862068965517,0.746268656716,0.473134328358,0.8,0.675324675325,0.004348278045654297
KNN,"{'algorithm': 'auto', 'weights': 'distance', 'n_neighbors': 1}",0.862068965517,0.746268656716,0.473134328358,0.8,0.675324675325,0.004283428192138672
KNN,"{'algorithm': 'auto', 'weights': 'uniform', 'n_neighbors': 5}",0.880952380952,0.55223880597,0.526119402985,0.678899082569,0.545454545455,0.0052945613861083984
KNN,"{'algorithm': 'auto', 'weights': 'distance', 'n_neighbors': 5}",0.872340425532,0.611940298507,0.505970149254,0.719298245614,0.584415584416,0.00517725944519043
KNN,"{'algorithm': 'auto', 'weights': 'uniform', 'n_neighbors': 10}",0.947368421053,0.268656716418,0.584328358209,0.418604651163,0.350649350649,0.005351066589355469
KNN,"{'algorithm': 'auto', 'weights': 'distance', 'n_neighbors': 10}",0.897435897436,0.522388059701,0.561194029851,0.660377358491,0.532467532468,0.005858659744262695
KNN,"{'algorithm': 'auto', 'weights': 'uniform', 'n_neighbors': 25}",1.0,0.10447761194,0.55223880597,0.189189189189,0.220779220779,0.005483865737915039
KNN,"{'algorithm': 'auto', 'weights': 'distance', 'n_neighbors': 25}",0.882352941176,0.44776119403,0.523880597015,0.594059405941,0.467532467532,0.005571603775024414
KNN,"{'algorithm': 'ball_tree', 'weights': 'uniform', 'n_neighbors': 1}",0.862068965517,0.746268656716,0.473134328358,0.8,0.675324675325,0.0034835338592529297
KNN,"{'algorithm': 'ball_tree', 'weights': 'distance', 'n_neighbors': 1}",0.862068965517,0.746268656716,0.473134328358,0.8,0.675324675325,0.003462076187133789
KNN,"{'algorithm': 'ball_tree', 'weights': 'uniform', 'n_neighbors': 5}",0.880952380952,0.55223880597,0.526119402985,0.678899082569,0.545454545455,0.004100799560546875
