"Data Source","World Development Indicators",

"Last Updated Date","2016-05-02",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Burundi","BDI","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.9349243314325","51.3118411514739","52.878198737147","55.6483505338881","58.1059638143456","66.0842949642494","74.2795194246981","96.6895956163134","106.604163621697","120.698819326132","163.973594004644","182.31021019087","181.399394588527","199.098768837454","219.244011262054","252.463351241914","251.907001926274","262.312296436183","318.98621751318","342.691617259789","380.210285196312","425.76830071686","482.740595020944","538.265133698654","574.576257344928","",
"Belgium","BEL","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.900479","0.896541","0.906578","0.920869","0.920564","0.912765","0.91357","0.913232","0.925523","0.921268","0.890765","0.884935","0.865224","0.8772","0.896432","0.8996","0.883034","0.886872","0.873504","0.858504","0.853564","0.839851","0.830336","0.815523","0.821285","",
"Benin","BEN","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","113.380087822859","110.558006702882","111.363937779656","111.362915652152","147.24000760261","166.010009747228","174.294960987512","177.646812994394","184.933588857675","197.707387662926","201.694465163265","201.089411198257","205.086007167621","207.23714583307","203.24461675203","205.363684253644","203.409917019112","198.910542401853","207.636462113955","211.306319810189","210.590392614618","214.034563567716","225.823574793247","226.126960177137","220.024406613069","",
"Burkina Faso","BFA","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","180.546646366806","167.797780227652","164.430504703095","158.293464838979","177.684620011895","185.83714117494","183.141813204781","182.862173068711","195.26290473543","200.852029541558","194.773393756484","196.488683721182","200.945055939978","199.941697281361","194.767340295841","195.751876151156","189.578182318097","185.596103451052","195.930737900008","199.131519884084","204.164387250832","213.659171587501","222.115212413067","221.679352467675","217.678260589449","",
"Bangladesh","BGD","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.7606759339138","11.6925009239526","11.7270951618283","11.4723751235297","11.6788528314148","12.2576448712942","14.3423251425669","14.6368564690125","15.1655045256661","15.5016921867321","15.6791994217031","15.8297782648939","16.197360877828","16.8042828340264","17.1006956868772","17.3274602842533","17.7987907360909","18.4593255092387","19.5273557988617","20.6911198486046","21.901928606926","23.1454319216791","24.5936519040279","25.9712517174575","27.0488495843731","",
"Bulgaria","BGR","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00096367020265527","0.00304538211459111","0.00475146753610158","0.00701220370877629","0.0118580687614348","0.0188613479224005","0.0407639195195603","0.419141464751578","0.509703316779456","0.522662418617537","0.538588304938669","0.55840970975528","0.556488262268154","0.55653437164793","0.576937868450127","0.599069439903423","0.607276344541926","0.636533396201873","0.653215797669632","0.658001024806342","0.661362508114713","0.698611898231058","0.693346062341834","0.680776879911873","0.672630904103053","",
"Bahrain","BHR","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.140163162613892","0.133094488763788","0.125531176592413","0.118903803350946","0.124961519309205","0.123743545004749","0.121764106862356","0.120830581636996","0.111097380196308","0.112329603978136","0.142770155901158","0.134893456461981","0.137589751651734","0.146291984240111","0.158025780155189","0.174127806004616","0.183875952377856","0.194217900826445","0.212129325593908","0.183174668772004","0.194430052776493","0.210747166621404","0.211641514046205","0.211597908708273","0.20539585199292","",
"Bahamas, The","BHS","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.787012202648647","0.781132386634945","0.793550638582514","0.768504970667127","0.768920597666864","0.759255086957141","0.75298191730146","0.997107862629464","1.01648137337085","1.05072725232977","1.03682013091882","1.01730290475013","1.04160647273062","1.03303372638103","1.01739758578929","1.035526141454","1.01297855738932","1.01580243938534","1.01109289588299","0.993070767492716","0.977236061017481","0.94924948597659","0.9521402235948","0.960425834737139","0.945782281767658","",
"Bosnia and Herzegovina","BIH","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.558135233185943","0.595103916525223","0.48474909945699","0.53860391432853","0.524392600678967","0.559644651228071","0.704730816670194","0.709437309314201","0.729884801119665","0.722144196822483","0.720898638330018","0.718165203759127","0.712930106650142","0.731504454994797","0.755110297282281","0.743320673960877","0.739114064230343","0.725848767181254","0.704970374748072","0.691446040559223","0.685948682013359","",
"Belarus","BLR","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.13382795977878E-05","0.000160268479440823","0.00183983821593396","0.0207284130689467","0.415084695620637","3.096262886554","4.67409247099321","7.88804980500568","13.7792108960394","56.5652024193781","157.784891071117","276.966634595939","395.239888189725","506.422174930784","604.628428381593","696.915301555848","748.818317044235","823.300718935063","978.7525779015","1026.58677155692","1126.48683926481","1889.30769751274","3256.11992356785","3884.99855686013","4520.36652156973","",
